"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Haushaltsgrösse - Total","1 Person","2 Personen","3 Personen","4 Personen","5 Personen","6 oder mehr Personen"
"2023","......0855 Schwarzenburg",6660,1113,2434,1002,1396,580,135
"2023","......0861 Belp",11508,1954,3814,1935,2456,985,364
"2023","......0866 Gerzensee",1279,169,456,177,328,105,44
"2023","......0868 Jaberg",303,34,90,42,76,55,6
"2023","......0869 Kaufdorf",1116,114,352,177,296,140,37
"2023","......0870 Kehrsatz",4473,606,1358,732,972,460,345
"2023","......0872 Kirchdorf (BE)",1830,260,672,267,392,195,44
"2023","......0877 Niedermuhlern",500,61,198,75,116,25,25
"2023","......0879 Riggisberg",2996,445,1040,498,632,265,116
"2023","......0880 Rüeggisberg",1765,287,642,264,400,115,57
"2023","......0884 Toffen",2581,365,932,432,572,230,50
"2023","......0888 Wald (BE)",1175,170,412,174,332,75,12
"2023","......0889 Thurnen",2041,268,708,294,492,215,64
"2023",">> Verwaltungskreis Thun",107374,19473,38138,16236,21784,8300,3443
"2023","......0767 Reutigen",1047,161,366,150,248,65,57
"2023","......0770 Stocken-Höfen",1007,141,336,162,216,115,37
"2023","......0863 Burgistein",1087,154,392,150,240,125,26
"2023","......0867 Gurzelen",887,104,264,129,224,120,46
"2023","......0883 Seftigen",2138,309,838,309,468,160,54
"2023","......0885 Uttigen",2154,281,744,348,516,215,50
"2023","......0886 Wattenwil",3159,488,966,549,736,235,185
"2023","......0921 Amsoldingen",822,104,314,120,188,65,31
"2023","......0922 Blumenstein",1281,172,426,219,288,120,56
"2023","......0923 Buchholterberg",1517,199,538,234,264,190,92
"2023","......0924 Eriz",471,66,172,81,88,40,24
"2023","......0925 Fahrni",794,101,254,120,240,35,44
"2023","......0927 Heiligenschwendi",719,172,240,84,136,50,37
"2023","......0928 Heimberg",6968,1038,2452,1119,1468,600,291
"2023","......0929 Hilterfingen",3998,821,1316,606,908,230,117
"2023","......0931 Homberg",486,58,120,66,128,90,24
"2023","......0932 Horrenbach-Buchen",221,28,68,36,32,25,32
"2023","......0934 Oberhofen am Thunersee",2438,509,926,384,468,100,51
"2023","......0935 Oberlangenegg",477,62,140,72,104,60,39
"2023","......0936 Pohlern",243,43,72,27,64,25,12
"2023","......0938 Sigriswil",4803,1061,2054,570,672,300,146
"2023","......0939 Steffisburg",16129,3061,5670,2541,3264,1150,443
"2023","......0940 Teuffenthal (BE)",162,27,62,21,32,20,0
"2023","......0941 Thierachern",2488,296,864,348,636,250,94
"2023","......0942 Thun",42879,8700,15506,6423,8080,3060,1110
"2023","......0943 Uebeschi",723,88,180,132,192,70,61
"2023","......0944 Uetendorf",5910,900,2104,912,1320,500,174
"2023","......0945 Unterlangenegg",1063,141,322,159,268,125,48
"2023","......0946 Wachseldorn",225,33,70,45,20,45,12
"2023","......0947 Zwieselberg",315,39,100,27,92,45,12
"2023","......0948 Forst-Längenbühl",763,116,262,93,184,70,38
"2023",">> Verwaltungskreis Obersimmental-Saanen",16524,3082,5272,2703,3216,1415,836
"2023","......0791 Boltigen",1248,189,424,198,224,140,73
"2023","......0792 Lenk",2275,420,766,342,452,220,75
"2023","......0793 St. Stephan",1292,214,388,210,244,125,111
"2023","......0794 Zweisimmen",3007,504,1080,432,624,240,127
"2023","......0841 Gsteig",1015,195,346,153,200,85,36
"2023","......0842 Lauenen",847,103,250,144,160,135,55
"2023","......0843 Saanen",6840,1457,2018,1224,1312,470,359
"2023",">> Verwaltungskreis Frutigen-Niedersimmental",40687,6897,13962,5865,8484,3885,1594
"2023","......0561 Adelboden",3366,520,1070,525,664,345,242
"2023","......0562 Aeschi bei Spiez",2288,414,776,294,480,250,74
"2023","......0563 Frutigen",6963,1065,2178,1026,1388,835,471
"2023","......0564 Kandergrund",809,141,262,87,228,60,31
"2023","......0565 Kandersteg",1275,285,534,180,192,60,24
"2023","......0566 Krattigen",1132,206,430,162,248,55,31
"2023","......0567 Reichenbach im Kandertal",3652,604,1186,417,860,445,140
"2023","......0761 Därstetten",842,122,294,129,152,70,75
"2023","......0762 Diemtigen",2253,362,752,315,536,230,58
"2023","......0763 Erlenbach im Simmental",1708,325,612,213,340,165,53
"2023","......0766 Oberwil im Simmental",824,114,286,117,160,80,67
"2023","......0768 Spiez",12932,2348,4762,1959,2640,985,238
"2023","......0769 Wimmis",2643,391,820,441,596,305,90
"2023",">> Verwaltungskreis Interlaken-Oberhasli",47611,9796,16814,7332,9340,3185,1144
"2023","......0571 Beatenberg",1127,290,428,135,168,70,36
"2023","......0572 Bönigen",2619,462,920,423,580,185,49
"2023","......0573 Brienz (BE)",3228,649,1130,426,584,250,189
"2023","......0574 Brienzwiler",501,114,192,66,88,35,6
"2023","......0575 Därligen",413,71,138,69,88,35,12
"2023","......0576 Grindelwald",3757,930,1358,576,696,160,37
"2023","......0577 Gsteigwiler",429,73,166,54,84,40,12
"2023","......0578 Gündlischwand",345,56,108,39,92,50,0
"2023","......0579 Habkern",604,109,190,66,140,75,24
"2023","......0580 Hofstetten bei Brienz",533,98,212,90,88,45,0
"2023","......0581 Interlaken",5857,1403,2018,864,976,375,221
"2023","......0582 Iseltwald",395,89,136,63,76,25,6
"2023","......0584 Lauterbrunnen",2274,627,784,357,368,105,33
"2023","......0585 Leissigen",1210,179,412,198,264,115,42
"2023","......0586 Lütschental",226,39,84,33,48,10,12
"2023","......0587 Matten bei Interlaken",4089,744,1396,783,892,230,44
"2023","......0588 Niederried bei Interlaken",365,69,162,51,68,0,15
"2023","......0589 Oberried am Brienzersee",462,106,188,63,80,25,0
"2023","......0590 Ringgenberg (BE)",2574,538,946,360,560,140,30
"2023","......0591 Saxeten",89,23,38,15,8,5,0
"2023","......0592 Schwanden bei Brienz",648,115,248,99,100,50,36
"2023","......0593 Unterseen",5625,1152,2082,924,1072,285,110
"2023","......0594 Wilderswil",2684,491,904,426,608,195,60
"2023","......0782 Guttannen",246,42,98,42,44,20,0
"2023","......0783 Hasliberg",998,190,334,93,228,135,18
"2023","......0784 Innertkirchen",1061,182,390,162,192,115,20
"2023","......0785 Meiringen",4688,848,1550,780,1020,370,120
"2023","......0786 Schattenhalb",564,107,202,75,128,40,12
"2023","- Luzern",424678,66916,129702,69498,97208,42730,18624
"2023",">> Wahlkreis Luzern-Stadt",83048,19762,27156,13671,15120,5230,2109
"2023","......1061 Luzern",83048,19762,27156,13671,15120,5230,2109
"2023",">> Wahlkreis Luzern-Land",108385,16520,34144,18789,25408,9555,3969
"2023","......1051 Adligenswil",5540,620,1700,996,1484,515,225
"2023","......1052 Buchrain",6724,708,1914,1296,1872,640,294
"2023","......1053 Dierikon",1653,179,444,306,468,170,86
"2023","......1054 Ebikon",14430,2183,4268,2454,3404,1400,721
"2023","......1055 Gisikon",1496,180,416,300,420,135,45
"2023","......1056 Greppen",1194,139,356,246,260,155,38
"2023","......1057 Honau",566,85,210,84,116,40,31
"2023","......1058 Horw",15061,2618,4910,2577,3448,1150,358
"2023","......1059 Kriens",29076,5170,9406,4974,6276,2390,860
"2023","......1062 Malters",7683,1055,2240,1269,2004,755,360
"2023","......1063 Meggen",7640,1160,2750,1269,1684,575,202
"2023","......1064 Meierskappel",1574,167,418,270,420,210,89
"2023","......1065 Root",5679,711,1644,1023,1452,565,284
"2023","......1066 Schwarzenberg",1768,204,528,276,460,220,80
"2023","......1067 Udligenswil",2455,266,768,459,632,230,100
"2023","......1068 Vitznau",1415,292,484,243,244,100,52
"2023","......1069 Weggis",4431,783,1688,747,764,305,144
"2023",">> Wahlkreis Hochdorf",75446,10553,22548,12012,18172,8455,3706
"2023","......1021 Aesch (LU)",1390,185,506,177,332,120,70
"2023","......1023 Ballwil",2800,351,880,375,720,395,79
"2023","......1024 Emmen",31752,5427,9326,5286,6948,3170,1595
"2023","......1025 Ermensee",1024,104,332,174,192,160,62
"2023","......1026 Eschenbach (LU)",3763,464,1144,591,1004,400,160
"2023","......1030 Hitzkirch",5939,618,1744,1011,1448,730,388
"2023","......1031 Hochdorf",9747,1337,2838,1455,2652,1025,440
"2023","......1032 Hohenrain",2422,233,722,369,512,420,166
"2023","......1033 Inwil",2898,356,858,453,680,380,171
"2023","......1037 Rain",3121,276,890,528,872,405,150
"2023","......1039 Römerswil",1781,195,524,240,396,315,111
"2023","......1040 Rothenburg",7757,872,2458,1224,2160,780,263
"2023","......1041 Schongau",1052,135,326,129,256,155,51
"2023",">> Wahlkreis Sursee",77976,9613,22750,12525,19644,9380,4064
"2023","......1081 Beromünster",6633,845,1814,951,1732,830,461
"2023","......1082 Büron",2712,326,728,462,660,350,186
"2023","......1083 Buttisholz",3405,355,882,561,888,545,174
"2023","......1084 Eich",1657,208,612,294,384,115,44
"2023","......1085 Geuensee",2874,302,758,441,828,350,195
"2023","......1086 Grosswangen",3424,389,944,513,876,515,187
"2023","......1088 Hildisrieden",2446,281,862,336,584,260,123
"2023","......1089 Knutwil",2445,292,720,405,644,265,119
"2023","......1091 Mauensee",1518,178,490,225,388,180,57
"2023","......1093 Neuenkirch",7156,783,2080,1191,1804,880,418
"2023","......1094 Nottwil",4100,493,1064,672,1168,505,198
"2023","......1095 Oberkirch",5005,573,1454,858,1412,550,158
"2023","......1097 Rickenbach (LU)",3629,440,1014,627,940,390,218
"2023","......1098 Ruswil",7368,868,2154,1137,1736,1020,453
"2023","......1099 Schenkon",3111,354,970,552,820,340,75
"2023","......1100 Schlierbach",979,90,262,141,332,130,24
"2023","......1102 Sempach",4100,459,1196,699,1104,510,132
"2023","......1103 Sursee",10661,1809,3478,1740,2236,1020,378
"2023","......1104 Triengen",4753,568,1268,720,1108,625,464
"2023",">> Wahlkreis Willisau",56435,7254,16432,9018,13448,6980,3303
"2023","......1121 Alberswil",726,95,252,126,160,75,18
"2023","......1122 Altbüron",1016,114,288,174,288,115,37
"2023","......1123 Altishofen",1970,192,530,339,548,245,116
"2023","......1125 Dagmersellen",5807,765,1774,1038,1360,655,215
"2023","......1127 Egolzwil",1647,219,536,264,340,180,108
"2023","......1128 Ettiswil",2823,371,748,405,760,360,179
"2023","......1129 Fischbach",689,91,214,90,128,110,56
"2023","......1131 Grossdietwil",882,110,274,156,232,60,50
"2023","......1132 Hergiswil bei Willisau",1900,190,482,336,472,310,110
"2023","......1135 Luthern",1218,134,346,159,268,210,101
"2023","......1136 Menznau",3067,366,872,438,700,440,251
"2023","......1137 Nebikon",2793,337,784,483,744,315,130
"2023","......1139 Pfaffnau",2738,388,826,456,608,285,175
"2023","......1140 Reiden",7412,1012,2184,1263,1752,780,421
"2023","......1142 Roggliswil",778,81,280,126,176,85,30
"2023","......1143 Schötz",4861,613,1246,729,1356,660,257
"2023","......1145 Ufhusen",920,107,278,144,184,140,67
"2023","......1146 Wauwil",2581,296,858,399,584,325,119
"2023","......1147 Wikon",1480,228,440,153,360,170,129
"2023","......1150 Zell (LU)",2125,265,610,348,476,220,206
"2023","......1151 Willisau",9002,1280,2610,1392,1952,1240,528
"2023",">> Wahlkreis Entlebuch",23388,3214,6672,3483,5416,3130,1473
"2023","......1001 Doppleschwand",822,92,214,117,236,100,63
"2023","......1002 Entlebuch",3318,465,1002,483,768,385,215
"2023","......1004 Flühli",1647,257,494,237,336,225,98
"2023","......1005 Hasle (LU)",1764,217,490,276,392,315,74
"2023","......1007 Romoos",641,77,180,90,116,100,78
"2023","......1008 Schüpfheim",4155,530,1184,573,972,645,251
"2023","......1009 Werthenstein",2175,266,592,345,552,270,150
"2023","......1010 Escholzmatt-Marbach",4391,684,1280,651,992,570,214
"2023","......1107 Wolhusen",4475,626,1236,711,1052,520,330
"2023","- Uri",37126,5535,11866,5757,8372,3920,1676
"2023",">> Kanton Uri",37126,5535,11866,5757,8372,3920,1676
"2023","......1201 Altdorf (UR)",9905,1706,3266,1611,2120,920,282
"2023","......1202 Andermatt",1558,403,516,255,232,115,37
"2023","......1203 Attinghausen",1757,184,490,285,436,220,142
"2023","......1205 Bürglen (UR)",3776,481,1128,594,972,460,141
"2023","......1206 Erstfeld",3846,643,1188,603,812,365,235
"2023","......1207 Flüelen",2032,330,680,282,436,175,129
"2023","......1208 Göschenen",421,78,168,60,80,35,0
"2023","......1209 Gurtnellen",502,95,194,57,80,50,26
"2023","......1210 Hospental",175,37,58,21,36,10,13
"2023","......1211 Isenthal",452,28,114,63,120,70,57
"2023","......1212 Realp",155,39,54,18,44,0,0
"2023","......1213 Schattdorf",5377,605,1794,873,1340,560,205
"2023","......1214 Seedorf (UR)",2040,214,570,252,636,270,98
"2023","......1215 Seelisberg",729,177,264,72,128,70,18
"2023","......1216 Silenen",2006,233,650,354,428,220,121
"2023","......1217 Sisikon",396,59,140,60,56,55,26
"2023","......1218 Spiringen",870,84,264,114,196,145,67
"2023","......1219 Unterschächen",712,66,194,111,144,150,47
"2023","......1220 Wassen",417,73,134,72,76,30,32
"2023","- Schwyz",164699,24601,51438,27789,37904,16160,6807
"2023",">> Bezirk Einsiedeln",16117,2510,5102,2532,3748,1540,685
"2023","......1301 Einsiedeln",16117,2510,5102,2532,3748,1540,685
"2023",">> Bezirk Gersau",2380,447,920,333,412,170,98
"2023","......1311 Gersau",2380,447,920,333,412,170,98
"2023",">> Bezirk Höfe",29740,4352,9682,5460,6748,2475,1023
"2023","......1321 Feusisberg",5572,792,1828,1026,1252,490,184
"2023","......1322 Freienbach",16686,2544,5356,3075,3836,1330,545
"2023","......1323 Wollerau",7482,1016,2498,1359,1660,655,294
"2023",">> Bezirk Küssnacht (SZ)",13813,2007,4418,2451,3084,1405,448
"2023","......1331 Küssnacht (SZ)",13813,2007,4418,2451,3084,1405,448
"2023",">> Bezirk March",45619,6567,14124,7932,11060,4105,1831
"2023","......1341 Altendorf",7285,991,2424,1332,1704,555,279
"2023","......1342 Galgenen",5401,750,1664,954,1360,470,203
"2023","......1343 Innerthal",182,32,44,30,36,40,0
"2023","......1344 Lachen",9364,1570,2944,1647,2176,775,252
"2023","......1345 Reichenburg",4087,493,1170,687,1092,420,225
"2023","......1346 Schübelbach",9521,1361,2700,1617,2292,985,566
"2023","......1347 Tuggen",3407,477,1078,546,832,310,164
"2023","......1348 Vorderthal",996,157,330,186,204,95,24
"2023","......1349 Wangen (SZ)",5376,736,1770,933,1364,455,118
"2023",">> Bezirk Schwyz",57030,8718,17192,9081,12852,6465,2722
"2023","......1361 Alpthal",632,108,224,102,88,65,45
"2023","......1362 Arth",12294,1747,3548,2049,3108,1295,547
"2023","......1363 Illgau",803,102,174,87,192,175,73
"2023","......1364 Ingenbohl",8959,1530,3062,1419,1872,790,286
"2023","......1365 Lauerz",1127,119,332,147,308,190,31
"2023","......1366 Morschach",1203,193,356,174,284,130,66
"2023","......1367 Muotathal",3524,460,1002,576,800,450,236
"2023","......1368 Oberiberg",891,205,324,81,156,100,25
"2023","......1369 Riemenstalden",82,11,8,12,12,15,24
"2023","......1370 Rothenthurm",2573,327,662,372,612,440,160
"2023","......1371 Sattel",2042,289,602,300,448,275,128
"2023","......1372 Schwyz",15805,2631,4792,2538,3468,1715,661
"2023","......1373 Steinen",3708,469,1022,651,912,425,229
"2023","......1374 Steinerberg",950,106,294,168,156,130,96
"2023","......1375 Unteriberg",2437,421,790,405,436,270,115
"2023","- Obwalden",38593,5862,11892,6069,9256,3710,1804
"2023",">> Kanton Obwalden",38593,5862,11892,6069,9256,3710,1804
"2023","......1401 Alpnach",6313,870,1932,1098,1580,570,263
"2023","......1402 Engelberg",4278,977,1356,609,868,255,213
"2023","......1403 Giswil",3851,507,1188,624,920,455,157
"2023","......1404 Kerns",6322,800,1858,996,1628,680,360
"2023","......1405 Lungern",2026,346,662,267,436,220,95
"2023","......1406 Sachseln",5233,681,1634,816,1260,595,247
"2023","......1407 Sarnen",10570,1681,3262,1659,2564,935,469
"2023","- Nidwalden",44272,6868,15226,7221,9708,3880,1369
"2023",">> Kanton Nidwalden",44272,6868,15226,7221,9708,3880,1369
"2023","......1501 Beckenried",3693,557,1248,531,880,375,102
"2023","......1502 Buochs",5425,796,1782,900,1216,580,151
"2023","......1503 Dallenwil",1862,241,560,333,404,220,104
"2023","......1504 Emmetten",1648,339,604,213,312,110,70
"2023","......1505 Ennetbürgen",5160,821,1924,843,1160,305,107
"2023","......1506 Ennetmoos",2291,291,714,324,604,245,113
"2023","......1507 Hergiswil (NW)",6079,1010,2236,1104,1116,415,198
"2023","......1508 Oberdorf (NW)",3054,406,960,423,752,400,113
"2023","......1509 Stans",8152,1242,2746,1407,1904,625,228
"2023","......1510 Stansstad",4822,895,1856,837,872,300,62
"2023","......1511 Wolfenschiessen",2086,270,596,306,488,305,121
"2023","- Glarus",40963,6990,12584,6963,8916,3890,1620
"2023",">> Kanton Glarus",40963,6990,12584,6963,8916,3890,1620
"2023","......1630 Glarus Nord",19236,2925,5806,3309,4552,1865,779
"2023","......1631 Glarus Süd",9336,1749,3296,1527,1544,825,395
"2023","......1632 Glarus",12391,2316,3482,2127,2820,1200,446
"2023","- Zug",129899,18647,38408,23610,32860,12095,4279
"2023",">> Kanton Zug",129899,18647,38408,23610,32860,12095,4279
"2023","......1701 Baar",24623,3705,7284,4425,6060,2370,779
"2023","......1702 Cham",17640,2324,5112,3045,4976,1635,548
"2023","......1703 Hünenberg",8913,894,2578,1680,2404,1015,342
"2023","......1704 Menzingen",4432,577,1368,744,1056,475,212
"2023","......1705 Neuheim",2432,263,656,444,664,275,130
"2023","......1706 Oberägeri",6400,846,1986,1092,1664,525,287
"2023","......1707 Risch",11209,1428,3348,2136,2816,1100,381
"2023","......1708 Steinhausen",10250,1346,3106,1827,2800,905,266
"2023","......1709 Unterägeri",9076,1377,2620,1527,2396,875,281
"2023","......1710 Walchwil",3935,490,1290,756,904,350,145
"2023","......1711 Zug",30989,5397,9060,5934,7120,2570,908
"2023","- Fribourg / Freiburg",334786,48913,91780,62259,82324,34420,15090
"2023",">> District de la Broye",35386,4813,9414,6615,9100,3740,1704
"2023","......2008 Châtillon (FR)",527,50,136,111,140,60,30
"2023","......2011 Cugy (FR)",1969,269,508,375,480,195,142
"2023","......2016 Fétigny",1171,169,304,228,384,60,26
"2023","......2022 Gletterens",1129,119,338,156,380,110,26
"2023","......2025 Lully (FR)",1203,143,304,192,380,140,44
"2023","......2027 Ménières",439,36,94,102,128,55,24
"2023","......2029 Montagny (FR)",2974,374,790,549,752,300,209
"2023","......2035 Nuvilly",490,51,120,72,140,75,32
"2023","......2038 Prévondavaux",97,17,24,24,32,0,0
"2023","......2041 Saint-Aubin (FR)",1954,244,562,363,512,200,73
"2023","......2043 Sévaz",312,40,98,36,84,30,24
"2023","......2044 Surpierre",1210,136,360,201,296,130,87
"2023","......2045 Vallon",513,77,130,117,124,40,25
"2023","......2050 Les Montets",1555,228,390,267,404,210,56
"2023","......2051 Delley-Portalban",1316,190,398,267,292,100,69
"2023","......2053 Belmont-Broye",5950,758,1452,1191,1532,710,307
"2023","......2054 Estavayer",10124,1594,2642,1917,2392,1090,489
"2023","......2055 Cheyres-Châbles",2453,318,764,447,648,235,41
"2023",">> District de la Glâne",26090,3377,6862,4869,6756,3005,1221
"2023","......2061 Auboranges",285,30,66,48,84,45,12
"2023","......2063 Billens-Hennens",859,141,224,132,236,100,26
"2023","......2066 Chapelle (Glâne)",347,32,98,51,112,35,19
"2023","......2067 Le Châtelard",345,33,94,72,60,55,31
"2023","......2068 Châtonnaye",854,107,236,150,204,125,32
"2023","......2072 Ecublens (FR)",398,33,112,90,96,45,22
"2023","......2079 Grangettes",211,29,46,33,40,45,18
"2023","......2086 Massonnens",597,56,150,123,180,55,33
"2023","......2087 Mézières (FR)",1134,143,350,255,248,95,43
"2023","......2089 Montet (Glâne)",528,38,166,108,124,50,42
"2023","......2096 Romont (FR)",5795,984,1470,1095,1412,570,264
"2023","......2097 Rue",1577,215,458,297,416,155,36
"2023","......2099 Siviriez",2538,304,646,471,612,355,150
"2023","......2102 Ursy",3442,378,876,663,972,390,163
"2023","......2113 Vuisternens-devant-Romont",2334,263,572,408,676,310,105
"2023","......2114 Villorsonnens",1489,181,404,237,420,180,67
"2023","......2115 Torny",1074,117,298,147,300,135,77
"2023","......2117 Villaz",2283,293,596,489,564,260,81
"2023",">> District de la Gruyère",59666,9036,16078,10818,14456,6520,2758
"2023","......2121 Haut-Intyamon",1670,262,464,255,328,250,111
"2023","......2122 Pont-en-Ogoz",1981,252,576,339,508,245,61
"2023","......2123 Botterens",740,73,204,132,220,85,26
"2023","......2124 Broc",2761,509,774,471,596,275,136
"2023","......2125 Bulle",25401,4438,6752,4905,5608,2525,1173
"2023","......2128 Châtel-sur-Montsalvens",355,51,92,90,76,25,21
"2023","......2129 Corbières",1039,115,284,219,288,90,43
"2023","......2130 Crésuz",471,89,160,48,84,65,25
"2023","......2131 Echarlens",837,98,254,147,244,75,19
"2023","......2134 Grandvillard",850,107,198,144,296,80,25
"2023","......2135 Gruyères",2286,331,598,417,628,220,92
"2023","......2137 Hauteville",724,70,182,117,192,105,58
"2023","......2138 Jaun",638,69,204,90,104,115,56
"2023","......2140 Marsens",2084,220,472,351,632,320,89
"2023","......2143 Morlon",708,88,202,156,164,85,13
"2023","......2145 Le Pâquier (FR)",1369,163,346,237,396,165,62
"2023","......2147 Pont-la-Ville",612,43,214,99,148,70,38
"2023","......2148 Riaz",2882,356,764,501,816,315,130
"2023","......2149 La Roche",1837,238,500,309,480,190,120
"2023","......2152 Sâles",1439,143,372,213,416,230,65
"2023","......2153 Sorens",1082,129,274,189,312,135,43
"2023","......2155 Vaulruz",1110,128,290,234,308,105,45
"2023","......2160 Vuadens",2511,310,640,435,652,335,139
"2023","......2162 Bas-Intyamon",1666,280,444,285,376,205,76
"2023","......2163 Val-de-Charmey",2613,474,818,435,584,210,92
"2023",">> District de la Sarine",108249,17318,28228,20439,25948,11160,5156
"2023","......2173 Autigny",790,97,212,168,184,70,59
"2023","......2174 Avry",1916,222,466,402,584,170,72
"2023","......2175 Belfaux",3425,380,788,591,1004,435,227
"2023","......2177 Chénens",842,84,190,174,256,115,23
"2023","......2183 Corminboeuf",2912,263,716,624,928,305,76
"2023","......2186 Cottens (FR)",1489,159,364,249,456,150,111
"2023","......2194 Ferpicloz",249,20,78,69,60,15,7
"2023","......2196 Fribourg",36952,8442,9840,6540,6940,3370,1820
"2023","......2197 Givisiez",3085,386,720,654,848,355,122
"2023","......2198 Granges-Paccot",3907,592,930,792,944,410,239
"2023","......2200 Grolley",2074,269,558,447,492,195,113
"2023","......2206 Marly",8807,1291,2524,1740,2016,765,471
"2023","......2208 Matran",1715,204,468,345,400,195,103
"2023","......2211 Neyruz (FR)",2865,297,716,516,892,310,134
"2023","......2216 Pierrafortscha",149,8,40,30,24,25,22
"2023","......2217 Ponthaux",798,55,188,168,252,90,45
"2023","......2220 Le Mouret",3305,401,870,636,808,400,190
"2023","......2226 Treyvaux",1577,182,400,294,480,155,66
"2023","......2228 Villars-sur-Glâne",12220,1829,3178,2355,2912,1375,571
"2023","......2230 Villarsel-sur-Marly",73,8,24,15,16,10,0
"2023","......2233 Hauterive (FR)",2639,325,688,456,708,335,127
"2023","......2234 La Brillaz",2181,251,556,402,672,240,60
"2023","......2235 La Sonnaz",1399,140,380,252,408,160,59
"2023","......2236 Gibloux",8067,927,2116,1626,2252,900,246
"2023","......2237 Prez",2451,220,628,435,812,275,81
"2023","......2238 Bois-d'Amont",2362,266,590,459,600,335,112
"2023",">> Bezirk See / District du Lac",38950,5007,11388,7410,9708,3845,1592
"2023","......2250 Courgevaux",1456,137,412,324,360,145,78
"2023","......2254 Courtepin",5713,623,1394,1242,1576,595,283
"2023","......2257 Cressier (FR)",1088,118,272,231,328,95,44
"2023","......2258 Fräschels",438,49,166,81,92,30,20
"2023","......2261 Greng",167,20,62,18,36,25,6
"2023","......2262 Gurmels",4663,479,1398,795,1304,495,192
"2023","......2265 Kerzers",5410,626,1558,1041,1408,520,257
"2023","......2266 Kleinbösingen",702,56,204,138,204,80,20
"2023","......2271 Meyriez",559,68,184,81,156,40,30
"2023","......2272 Misery-Courtion",2350,286,552,498,572,315,127
"2023","......2274 Muntelier",959,146,352,111,248,90,12
"2023","......2275 Murten",9387,1481,2860,1731,2020,930,365
"2023","......2276 Ried bei Kerzers",1214,150,412,168,280,165,39
"2023","......2278 Ulmiz",417,51,168,84,88,20,6
"2023","......2284 Mont-Vully",4427,717,1394,867,1036,300,113
"2023",">> Bezirk Sense",45475,6425,14350,7872,10728,4200,1900
"2023","......2292 Brünisried",693,99,220,120,188,40,26
"2023","......2293 Düdingen",8812,1339,2914,1443,2012,760,344
"2023","......2294 Giffers",1655,229,456,291,436,180,63
"2023","......2295 Bösingen",3306,399,1196,528,836,260,87
"2023","......2296 Heitenried",1392,164,440,252,352,125,59
"2023","......2299 Plaffeien",3615,612,1190,672,724,320,97
"2023","......2300 Plasselb",1037,180,328,171,240,100,18
"2023","......2301 Rechthalten",1141,198,390,165,280,75,33
"2023","......2303 St. Silvester",997,129,360,189,228,60,31
"2023","......2304 St. Ursen",1406,168,416,273,348,110,91
"2023","......2305 Schmitten (FR)",4249,512,1270,843,1096,375,153
"2023","......2306 Tafers",7790,1063,2454,1332,1760,850,331
"2023","......2307 Tentlingen",1344,215,414,279,304,70,62
"2023","......2308 Ueberstorf",2378,339,760,426,604,160,89
"2023","......2309 Wünnewil-Flamatt",5660,779,1542,888,1320,715,416
"2023",">> District de la Veveyse",20970,2937,5460,4236,5628,1950,759
"2023","......2321 Attalens",3638,411,878,783,1100,310,156
"2023","......2323 Bossonnens",1591,208,364,297,484,175,63
"2023","......2325 Châtel-Saint-Denis",8429,1457,2358,1707,2064,645,198
"2023","......2328 Granges (Veveyse)",964,108,236,192,284,95,49
"2023","......2333 Remaufens",1271,130,324,243,400,150,24
"2023","......2335 Saint-Martin (FR)",1007,107,270,207,256,110,57
"2023","......2336 Semsales",1555,220,410,303,416,145,61
"2023","......2337 Le Flon",1190,140,280,267,248,170,85
"2023","......2338 La Verrerie",1325,156,340,237,376,150,66
"2023","- Solothurn",282530,46871,90354,46686,61084,25110,12425
"2023",">> Bezirk Gäu",22831,3216,6954,3855,5368,2320,1118
"2023","......2401 Egerkingen",4243,601,1192,684,964,520,282
"2023","......2402 Härkingen",1761,224,610,264,408,180,75
"2023","......2403 Kestenholz",1865,252,584,303,484,190,52
"2023","......2404 Neuendorf",2375,329,718,429,604,230,65
"2023","......2405 Niederbuchsiten",1291,194,466,198,260,140,33
"2023","......2406 Oberbuchsiten",2359,304,742,456,536,195,126
"2023","......2407 Oensingen",6563,998,1850,1125,1552,660,378
"2023","......2408 Wolfwil",2374,314,792,396,560,205,107
"2023",">> Bezirk Thal",15134,2175,4654,2514,3192,1780,819
"2023","......2421 Aedermannsdorf",595,58,216,78,132,85,26
"2023","......2422 Balsthal",6419,998,1830,1059,1372,800,360
"2023","......2424 Herbetswil",583,75,190,102,104,80,32
"2023","......2425 Holderbank (SO)",742,144,242,132,108,50,66
"2023","......2426 Laupersdorf",1872,199,550,309,476,215,123
"2023","......2427 Matzendorf",1336,148,440,225,332,130,61
"2023","......2428 Mümliswil-Ramiswil",2403,360,782,411,456,285,109
"2023","......2430 Welschenrohr-Gänsbrunnen",1184,193,404,198,212,135,42
"2023",">> Bezirk Bucheggberg",8096,1044,2882,1359,1796,670,345
"2023","......2445 Biezwil",348,44,118,42,84,15,45
"2023","......2455 Lüterkofen-Ichertswil",889,105,320,138,216,80,30
"2023","......2456 Lüterswil-Gächliwil",356,52,142,63,72,15,12
"2023","......2457 Messen",1472,170,478,261,328,180,55
"2023","......2461 Schnottwil",1141,148,396,213,320,50,14
"2023","......2463 Unterramsern",220,22,86,39,48,5,20
"2023","......2464 Lüsslingen-Nennigkofen",1129,154,326,195,244,135,75
